,Strategy_Combination,Stock_Selection_Method,Weight_Allocation_Method,Total_Return,CAGR_4Y,CAGR_3Y,CAGR_2Y,CAGR_1Y,Positive_Return_Count,Negative_Return_Count,Sum_Positive_Return,Sum_Negative_Return,Variance_4Y,Variance_3Y,Variance_2Y,Variance_1Y,Success_Rate,Backtest_Version,Rebalance
54,14_9,14,9,12.24,0.87,0.63,0.57,1.37,13,3,3.85,-0.6,0.0859,0.0418,0.0588,0.0271,0.81,1,3m
55,11_10,11,10,5.14,0.51,0.38,0.4,1.3,32,16,3.12,-1.17,0.0591,0.0509,0.0762,0.0611,0.67,1,1m
56,5_1,5,1,4.02,0.42,0.52,0.47,1.01,12,4,2.16,-0.48,0.03,0.0248,0.0355,0.0248,0.75,1,3m
57,14_4,14,4,6.32,0.59,0.54,0.61,1.39,12,4,2.82,-0.54,0.0475,0.0362,0.0525,0.0257,0.75,1,3m
58,7_3,7,3,3.42,0.36,0.08,0.24,1.04,28,20,3.39,-1.72,0.1012,0.0746,0.1053,0.0965,0.58,1,1m
59,16_6,16,6,10.02,0.78,0.64,0.37,1.07,34,14,3.63,-0.99,0.0682,0.0409,0.0485,0.0351,0.71,1,1m
60,1_5,1,5,5.34,0.52,0.49,0.59,1.62,12,4,2.88,-0.67,0.0678,0.0574,0.0774,0.0528,0.75,1,3m
61,3_7,3,7,3.87,0.4,0.44,0.37,0.8,33,15,2.46,-0.93,0.0258,0.0177,0.0235,0.0219,0.69,1,1m
62,14_11,14,11,9.23,0.74,0.62,0.66,1.36,12,4,3.39,-0.57,0.0663,0.0402,0.0552,0.0193,0.75,1,3m
63,12_2,12,2,3.77,0.39,0.2,0.2,0.79,29,19,3.06,-1.37,0.0862,0.0598,0.0885,0.0904,0.6,1,1m
64,12_3,12,3,6.78,0.61,0.35,0.34,1.03,30,18,3.57,-1.27,0.0887,0.0661,0.0762,0.0805,0.62,1,1m
65,14_10,14,10,6.19,0.58,0.63,0.65,1.26,11,5,2.86,-0.58,0.0506,0.0417,0.0583,0.0302,0.69,1,3m
66,3_6,3,6,3.87,0.4,0.44,0.37,0.8,33,15,2.46,-0.93,0.0258,0.0177,0.0235,0.0219,0.69,1,1m
67,10_1,10,1,4.21,0.43,0.5,0.45,0.95,11,5,2.22,-0.48,0.0313,0.0247,0.0326,0.0218,0.69,1,3m
68,1_4,1,4,5.25,0.51,0.51,0.56,1.49,11,5,2.8,-0.66,0.0587,0.0519,0.0727,0.0485,0.69,1,3m
69,16_7,16,7,10.02,0.78,0.64,0.37,1.07,34,14,3.63,-0.99,0.0682,0.0409,0.0485,0.0351,0.71,1,1m
70,7_2,7,2,4.49,0.46,0.34,0.21,0.78,30,18,3.35,-1.47,0.082,0.0693,0.1016,0.1009,0.62,1,1m
71,14_5,14,5,7.2,0.64,0.63,0.6,1.37,12,4,3.02,-0.55,0.0546,0.0376,0.0523,0.0255,0.75,1,3m
72,5_2,5,2,5.23,0.51,0.55,0.64,1.61,11,5,3.05,-0.8,0.0737,0.0641,0.0859,0.0548,0.69,1,3m
73,14_7,14,7,6.45,0.59,0.68,0.58,1.13,11,5,2.93,-0.59,0.051,0.0465,0.0626,0.0361,0.69,1,3m
74,16_5,16,5,9.56,0.76,0.36,0.19,0.89,31,17,3.94,-1.22,0.098,0.0306,0.0391,0.0123,0.65,1,1m
75,9_11,9,11,5.49,0.53,0.56,0.71,1.56,12,4,2.85,-0.66,0.0582,0.0481,0.0636,0.0403,0.75,1,3m
76,1_6,1,6,4.59,0.46,0.56,0.46,0.84,11,5,2.29,-0.47,0.0307,0.0267,0.0375,0.0308,0.69,1,3m
77,5_11,5,11,4.61,0.47,0.49,0.59,1.54,11,5,2.73,-0.7,0.0626,0.0554,0.0781,0.0497,0.69,1,3m
78,10_3,10,3,4.89,0.49,0.46,0.59,1.5,12,4,3.04,-0.85,0.0782,0.052,0.059,0.0417,0.75,1,3m
79,3_4,3,4,8.49,0.71,0.57,0.37,1.11,32,16,3.43,-1.0,0.0546,0.0415,0.0528,0.0363,0.67,1,1m
80,12_1,12,1,4.68,0.47,0.44,0.25,0.67,35,13,2.39,-0.7,0.0253,0.0176,0.0196,0.0127,0.73,1,1m
81,3_5,3,5,10.3,0.79,0.53,0.38,1.15,33,15,3.8,-1.08,0.0731,0.046,0.0528,0.0378,0.69,1,1m
82,10_2,10,2,6.48,0.6,0.58,0.6,1.49,11,5,3.19,-0.75,0.0672,0.0507,0.0625,0.0331,0.69,1,3m
83,5_10,5,10,5.18,0.51,0.57,0.64,1.67,12,4,2.87,-0.7,0.0633,0.0542,0.0784,0.0451,0.75,1,3m
84,1_7,1,7,4.59,0.46,0.56,0.46,0.84,11,5,2.29,-0.47,0.0307,0.0267,0.0375,0.0308,0.69,1,3m
85,16_4,16,4,8.17,0.69,0.4,0.23,0.9,31,17,3.57,-1.12,0.07,0.0287,0.0363,0.0127,0.65,1,1m
86,9_10,9,10,5.44,0.53,0.58,0.64,1.46,12,4,2.92,-0.73,0.0583,0.0462,0.0601,0.0299,0.75,1,3m
87,7_1,7,1,4.68,0.47,0.44,0.25,0.67,35,13,2.39,-0.7,0.0253,0.0176,0.0196,0.0127,0.73,1,1m
88,14_6,14,6,6.45,0.59,0.68,0.58,1.13,11,5,2.93,-0.59,0.051,0.0465,0.0626,0.0361,0.69,1,3m
89,5_3,5,3,5.75,0.55,0.53,0.64,1.7,11,5,3.25,-0.81,0.0929,0.0755,0.1001,0.0726,0.69,1,3m
90,5_7,5,7,4.25,0.44,0.54,0.43,0.89,11,5,2.29,-0.54,0.0329,0.0301,0.0426,0.0324,0.69,1,3m
91,14_2,14,2,5.86,0.56,0.41,0.45,0.89,13,3,2.88,-0.61,0.0616,0.0332,0.0513,0.0144,0.81,1,3m
92,7_5,7,5,10.3,0.79,0.53,0.38,1.15,33,15,3.8,-1.08,0.0731,0.046,0.0528,0.0378,0.69,1,1m
93,7_11,7,11,6.76,0.61,0.49,0.35,1.11,33,15,3.23,-1.02,0.0612,0.0517,0.0732,0.066,0.69,1,1m
94,1_3,1,3,6.43,0.59,0.5,0.62,1.7,11,5,3.19,-0.68,0.0852,0.0744,0.1026,0.0726,0.69,1,3m
95,10_6,10,6,5.27,0.52,0.61,0.54,0.97,11,5,2.45,-0.46,0.0329,0.0265,0.0355,0.026,0.69,1,3m
96,3_1,3,1,4.68,0.47,0.44,0.25,0.67,35,13,2.39,-0.7,0.0253,0.0176,0.0196,0.0127,0.73,1,1m
97,12_4,12,4,6.74,0.61,0.43,0.35,1.07,31,17,3.26,-1.07,0.0521,0.033,0.046,0.0315,0.65,1,1m
98,12_5,12,5,6.34,0.59,0.33,0.33,1.07,30,18,3.32,-1.14,0.0634,0.0326,0.0487,0.0357,0.62,1,1m
99,10_7,10,7,5.27,0.52,0.61,0.54,0.97,11,5,2.45,-0.46,0.0329,0.0265,0.0355,0.026,0.69,1,3m
100,1_2,1,2,5.72,0.55,0.51,0.57,1.6,11,5,3.09,-0.76,0.0721,0.0696,0.093,0.0549,0.69,1,3m
101,7_10,7,10,5.14,0.51,0.38,0.4,1.3,32,16,3.12,-1.17,0.0591,0.0509,0.0762,0.0611,0.67,1,1m
102,16_1,16,1,6.35,0.59,0.64,0.35,0.75,35,13,2.8,-0.76,0.0318,0.0253,0.0224,0.0256,0.73,1,1m
103,7_4,7,4,8.49,0.71,0.57,0.37,1.11,32,16,3.43,-1.0,0.0546,0.0415,0.0528,0.0363,0.67,1,1m
104,14_3,14,3,6.42,0.59,0.35,0.58,1.06,11,5,3.15,-0.65,0.0873,0.0431,0.0574,0.0136,0.69,1,3m
105,5_6,5,6,4.25,0.44,0.54,0.43,0.89,11,5,2.29,-0.54,0.0329,0.0301,0.0426,0.0324,0.69,1,3m
106,16_11,16,11,9.42,0.75,0.47,0.4,1.36,31,17,3.61,-1.01,0.0807,0.043,0.0601,0.0342,0.65,1,1m
107,5_4,5,4,4.73,0.47,0.5,0.58,1.46,11,5,2.76,-0.7,0.0626,0.0532,0.0706,0.0503,0.69,1,3m
108,14_1,14,1,6.81,0.62,0.62,0.47,1.06,12,4,2.69,-0.43,0.032,0.028,0.0361,0.028,0.75,1,3m
109,7_6,7,6,3.87,0.4,0.44,0.37,0.8,33,15,2.46,-0.93,0.0258,0.0177,0.0235,0.0219,0.69,1,1m
110,16_3,16,3,6.78,0.61,0.14,0.2,0.82,28,20,3.81,-1.4,0.1141,0.0379,0.0452,0.0116,0.58,1,1m
111,9_9,9,9,7.78,0.67,0.79,0.67,1.47,12,4,3.22,-0.63,0.0566,0.0431,0.0651,0.0586,0.75,1,3m
112,10_5,10,5,5.09,0.5,0.53,0.65,1.56,11,5,2.97,-0.8,0.0681,0.0512,0.0612,0.0432,0.69,1,3m
113,3_2,3,2,4.49,0.46,0.34,0.21,0.78,30,18,3.35,-1.47,0.082,0.0693,0.1016,0.1009,0.62,1,1m
114,12_7,12,7,3.97,0.41,0.46,0.35,0.75,34,14,2.48,-0.92,0.0265,0.019,0.0242,0.0251,0.71,1,1m
115,12_6,12,6,3.97,0.41,0.46,0.35,0.75,34,14,2.48,-0.92,0.0265,0.019,0.0242,0.0251,0.71,1,1m
116,3_3,3,3,3.42,0.36,0.08,0.24,1.04,28,20,3.39,-1.72,0.1012,0.0746,0.1053,0.0965,0.58,1,1m
117,10_4,10,4,5.6,0.54,0.56,0.66,1.43,11,5,2.87,-0.68,0.0534,0.0416,0.0565,0.0384,0.69,1,3m
118,1_1,1,1,4.13,0.43,0.51,0.44,0.95,12,4,2.18,-0.48,0.0292,0.0246,0.0349,0.0232,0.75,1,3m
119,9_8,9,8,6.04,0.57,0.62,0.67,1.33,11,5,2.99,-0.71,0.0532,0.0452,0.0606,0.0584,0.69,1,3m
120,16_2,16,2,9.14,0.74,0.45,0.43,1.02,33,15,3.79,-1.17,0.0819,0.0402,0.0537,0.0516,0.69,1,1m
121,7_7,7,7,3.87,0.4,0.44,0.37,0.8,33,15,2.46,-0.93,0.0258,0.0177,0.0235,0.0219,0.69,1,1m
122,5_5,5,5,4.93,0.49,0.51,0.61,1.62,12,4,2.92,-0.74,0.0741,0.0597,0.0752,0.0531,0.75,1,3m
123,16_10,16,10,10.01,0.78,0.44,0.3,1.04,32,16,3.65,-0.97,0.0837,0.0313,0.0394,0.0169,0.67,1,1m
124,2_4,2,4,4.78,0.48,0.48,0.57,1.47,11,5,2.64,-0.64,0.0532,0.0484,0.0695,0.0454,0.69,1,3m
125,3_10,3,10,5.14,0.51,0.38,0.4,1.3,32,16,3.12,-1.17,0.0591,0.0509,0.0762,0.0611,0.67,1,1m
126,13_1,13,1,6.81,0.62,0.62,0.47,1.06,12,4,2.69,-0.43,0.032,0.028,0.0361,0.028,0.75,1,3m
127,11_3,11,3,3.42,0.36,0.08,0.24,1.04,28,20,3.39,-1.72,0.1012,0.0746,0.1053,0.0965,0.58,1,1m
128,4_2,4,2,3.77,0.39,0.2,0.2,0.79,29,19,3.06,-1.37,0.0862,0.0598,0.0885,0.0904,0.6,1,1m
129,15_7,15,7,10.16,0.79,0.64,0.37,1.08,34,14,3.64,-0.99,0.0703,0.0409,0.0485,0.0351,0.71,1,1m
130,15_6,15,6,10.16,0.79,0.64,0.37,1.08,34,14,3.64,-0.99,0.0703,0.0409,0.0485,0.0351,0.71,1,1m
131,4_3,4,3,6.78,0.61,0.35,0.34,1.03,30,18,3.57,-1.27,0.0887,0.0661,0.0762,0.0805,0.62,1,1m
132,6_1,6,1,4.02,0.42,0.52,0.47,1.01,12,4,2.16,-0.48,0.03,0.0248,0.0355,0.0248,0.75,1,3m
133,11_2,11,2,4.49,0.46,0.34,0.21,0.78,30,18,3.35,-1.47,0.082,0.0693,0.1016,0.1009,0.62,1,1m
134,3_11,3,11,6.76,0.61,0.49,0.35,1.11,33,15,3.23,-1.02,0.0612,0.0517,0.0732,0.066,0.69,1,1m
135,2_5,2,5,5.29,0.52,0.49,0.6,1.59,11,5,2.84,-0.65,0.0652,0.054,0.0736,0.0512,0.69,1,3m
136,2_7,2,7,4.59,0.46,0.56,0.46,0.84,11,5,2.29,-0.47,0.0307,0.0267,0.0375,0.0308,0.69,1,3m
137,13_2,13,2,6.0,0.57,0.38,0.32,0.72,12,4,3.09,-0.71,0.0766,0.0381,0.0577,0.0257,0.75,1,3m
138,12_10,12,10,4.42,0.45,0.28,0.24,0.89,32,16,2.97,-1.19,0.0499,0.0313,0.0475,0.0348,0.67,1,1m
139,6_3,6,3,4.1,0.42,0.38,0.41,1.48,10,6,2.88,-0.86,0.082,0.0577,0.075,0.0421,0.62,1,3m
140,4_1,4,1,4.68,0.47,0.44,0.25,0.67,35,13,2.39,-0.7,0.0253,0.0176,0.0196,0.0127,0.73,1,1m
141,15_4,15,4,7.78,0.67,0.46,0.29,1.02,32,16,3.43,-1.04,0.053,0.0318,0.0423,0.0162,0.67,1,1m
142,15_5,15,5,13.18,0.91,0.5,0.35,1.02,33,15,4.15,-1.1,0.0929,0.0289,0.0379,0.014,0.69,1,1m
143,6_2,6,2,4.27,0.44,0.45,0.5,1.27,10,6,2.95,-0.92,0.0754,0.0664,0.0905,0.0832,0.62,1,3m
144,11_1,11,1,4.68,0.47,0.44,0.25,0.67,35,13,2.39,-0.7,0.0253,0.0176,0.0196,0.0127,0.73,1,1m
145,12_11,12,11,6.25,0.58,0.42,0.34,1.05,32,16,3.22,-1.09,0.0588,0.0419,0.0629,0.058,0.67,1,1m
146,13_3,13,3,6.31,0.59,0.3,0.44,0.76,9,7,3.22,-0.69,0.0987,0.0444,0.0633,0.0321,0.56,1,3m
147,2_6,2,6,4.59,0.46,0.56,0.46,0.84,11,5,2.29,-0.47,0.0307,0.0267,0.0375,0.0308,0.69,1,3m
148,2_2,2,2,5.35,0.52,0.49,0.54,1.58,11,5,3.01,-0.76,0.071,0.0678,0.0905,0.0572,0.69,1,3m
149,13_7,13,7,6.33,0.59,0.67,0.58,1.13,11,5,2.91,-0.59,0.0504,0.0457,0.0626,0.0361,0.69,1,3m
150,11_5,11,5,10.3,0.79,0.53,0.38,1.15,33,15,3.8,-1.08,0.0731,0.046,0.0528,0.0378,0.69,1,1m
151,10_10,10,10,5.38,0.52,0.58,0.64,1.38,12,4,2.87,-0.7,0.0566,0.0441,0.0569,0.0302,0.75,1,3m
152,6_6,6,6,4.27,0.44,0.54,0.43,0.9,11,5,2.3,-0.54,0.033,0.0302,0.0428,0.0327,0.69,1,3m
153,8_9,8,9,5.21,0.51,0.26,0.24,1.12,29,19,3.24,-1.25,0.0587,0.0297,0.0411,0.0277,0.6,1,1m
154,4_4,4,4,6.74,0.61,0.43,0.35,1.07,31,17,3.26,-1.07,0.0521,0.033,0.046,0.0315,0.65,1,1m
155,15_1,15,1,6.35,0.59,0.64,0.35,0.75,35,13,2.8,-0.76,0.0318,0.0253,0.0224,0.0256,0.73,1,1m
156,4_5,4,5,6.34,0.59,0.33,0.33,1.07,30,18,3.32,-1.14,0.0634,0.0326,0.0487,0.0357,0.62,1,1m
157,8_8,8,8,6.39,0.59,0.47,0.28,1.07,31,17,3.22,-1.07,0.0456,0.0343,0.0334,0.0232,0.65,1,1m
158,6_7,6,7,4.27,0.44,0.54,0.43,0.9,11,5,2.3,-0.54,0.033,0.0302,0.0428,0.0327,0.69,1,3m
159,10_11,10,11,5.4,0.52,0.56,0.71,1.4,12,4,2.82,-0.67,0.0536,0.0422,0.0544,0.0288,0.75,1,3m
160,11_4,11,4,8.49,0.71,0.57,0.37,1.11,32,16,3.43,-1.0,0.0546,0.0415,0.0528,0.0363,0.67,1,1m
161,13_6,13,6,6.33,0.59,0.67,0.58,1.13,11,5,2.91,-0.59,0.0504,0.0457,0.0626,0.0361,0.69,1,3m
162,2_3,2,3,4.82,0.48,0.36,0.41,1.48,10,6,2.8,-0.69,0.0719,0.0547,0.0753,0.0421,0.62,1,3m
163,2_1,2,1,4.13,0.43,0.51,0.44,0.95,12,4,2.18,-0.48,0.0292,0.0246,0.0349,0.0232,0.75,1,3m
164,13_4,13,4,6.63,0.6,0.54,0.61,1.33,12,4,2.95,-0.58,0.0539,0.0362,0.0524,0.0249,0.75,1,3m
165,11_6,11,6,3.87,0.4,0.44,0.37,0.8,33,15,2.46,-0.93,0.0258,0.0177,0.0235,0.0219,0.69,1,1m
166,6_5,6,5,4.58,0.46,0.48,0.61,1.59,11,5,2.81,-0.74,0.0711,0.0555,0.0727,0.0517,0.69,1,3m
167,4_7,4,7,3.97,0.41,0.46,0.35,0.75,34,14,2.48,-0.92,0.0265,0.019,0.0242,0.0251,0.71,1,1m
168,15_2,15,2,9.37,0.75,0.46,0.5,1.26,34,14,3.8,-1.16,0.0902,0.0482,0.0669,0.0353,0.71,1,1m
169,1_10,1,10,5.53,0.53,0.55,0.62,1.65,12,4,2.83,-0.63,0.0602,0.0558,0.0812,0.0487,0.75,1,3m
170,1_11,1,11,4.37,0.45,0.43,0.56,1.48,11,5,2.6,-0.66,0.06,0.0555,0.0803,0.0533,0.69,1,3m
171,15_3,15,3,6.23,0.58,0.11,0.28,0.99,26,22,3.79,-1.45,0.1215,0.0445,0.0535,0.0142,0.54,1,1m
172,4_6,4,6,3.97,0.41,0.46,0.35,0.75,34,14,2.48,-0.92,0.0265,0.019,0.0242,0.0251,0.71,1,1m
173,6_4,6,4,4.16,0.43,0.46,0.55,1.41,11,5,2.61,-0.72,0.0577,0.0503,0.0699,0.0506,0.69,1,3m
174,11_7,11,7,3.87,0.4,0.44,0.37,0.8,33,15,2.46,-0.93,0.0258,0.0177,0.0235,0.0219,0.69,1,1m
175,13_5,13,5,5.8,0.55,0.5,0.59,1.29,12,4,2.76,-0.55,0.0532,0.036,0.0519,0.0241,0.75,1,3m
0,13_8,13,8,3.96,0.41,0.24,0.06,0.56,11,5,2.94,-0.98,0.073,0.0672,0.0963,0.1465,0.69,2,3m
1,4_10,4,10,4.56,0.46,0.36,0.16,0.99,32,16,3.19,-1.3,0.0522,0.0418,0.054,0.0389,0.67,2,1m
2,6_9,6,9,3.53,0.37,0.45,0.24,0.76,11,5,2.68,-0.96,0.0564,0.0582,0.0792,0.0778,0.69,2,3m
3,8_6,8,6,5.26,0.51,0.57,0.36,0.78,34,14,2.78,-0.92,0.0338,0.0277,0.0216,0.0184,0.71,2,1m
4,8_10,8,10,4.56,0.46,0.36,0.16,0.99,32,16,3.19,-1.3,0.0522,0.0418,0.054,0.0389,0.67,2,1m
5,8_11,8,11,5.9,0.56,0.49,0.32,0.96,33,15,3.23,-1.14,0.0482,0.0405,0.0493,0.0526,0.69,2,1m
6,8_7,8,7,5.26,0.51,0.57,0.36,0.78,34,14,2.78,-0.92,0.0338,0.0277,0.0216,0.0184,0.71,2,1m
7,6_8,6,8,4.12,0.42,0.49,0.35,0.96,11,5,2.6,-0.78,0.0478,0.0474,0.0671,0.0544,0.69,2,3m
8,4_11,4,11,5.9,0.56,0.49,0.32,0.96,33,15,3.23,-1.14,0.0482,0.0405,0.0493,0.0526,0.69,2,1m
9,13_9,13,9,2.57,0.27,0.03,-0.04,0.34,10,6,2.82,-1.2,0.0871,0.0789,0.1166,0.1953,0.62,2,3m
10,15_10,15,10,8.48,0.71,0.39,0.16,0.67,35,13,4.07,-1.41,0.0989,0.0544,0.0419,0.0306,0.73,2,1m
11,11_9,11,9,7.06,0.63,0.44,0.16,0.92,32,16,3.73,-1.33,0.069,0.056,0.0542,0.0416,0.67,2,1m
12,8_5,8,5,5.64,0.54,0.34,0.15,0.87,32,16,3.32,-1.23,0.0583,0.0417,0.0465,0.0362,0.67,2,1m
13,4_8,4,8,5.76,0.55,0.47,0.2,0.9,33,15,3.26,-1.19,0.0506,0.0465,0.0406,0.0299,0.69,2,1m
